Startup,Industry,SubVertical,City,Investors,InvestmentType,amount(cr.),Date
NeoSense,AgriTech,Marketplace,Mumbai,"Bessemer Venture Partners, Ventures India",Series C,708.345,2023-09-15
CloudPay,Consumer Electronics,Wearables,Noida,"A91 Partners, Peak XV",Seed,4.293,2021-12-04
GreenMart,E-commerce,Fashion,Kolkata,"Info Edge, Sequoia Capital India",Seed,0.477,2022-02-09
Oyo,Media,Social,Kolkata,"A91 Partners, Kalaari Capital, Ventures India",Series A,95.49,2021-10-01
NeoLabs,RealEstate,Rental Tech,Ahmedabad,Falcon Edge,Series A,112.329,2023-02-25
DriveFit,AgriTech,Smart Farming,Ahmedabad,SoftBank Vision Fund,Series B,215.622,2024-04-18
ClearTax,AgriTech,Supply Chain,Delhi,"Omidyar Network, Ribbit Capital, Ventures India",Series D,2238.021,2021-12-15
QuantumAnalytics,SaaS,HRTech,Chennai,Matrix Partners India,Pre-Series A,7.533,2023-09-16
FreshTech,Media,Social,Hyderabad,Falcon Edge,Seed,6.111,2020-12-13
GrowthConnect,Enterprise,Security,Ahmedabad,Sequoia Capital India,Series A,13.599,2022-05-12
CoreSpace,SaaS,MarTech,Ahmedabad,Zodius Capital,Pre-Series A,3.393,2023-03-18
Practo,Media,Streaming,Gurugram,"Omidyar Network, SoftBank Vision Fund, Y Combinator",Seed,4.221,2022-10-26
DriveEdge,RealEstate,PropTech,Noida,Elevation Capital,Seed,2.151,2021-06-27
FoodFit,AgriTech,Marketplace,Mumbai,Omidyar Network,Series B,346.725,2023-03-30
SkillFlow_806,Retail,Fashion,Kolkata,Ribbit Capital,Pre-Series A,7.74,2021-12-12
Oyo,Mobility,EV,Chennai,Kalaari Capital,Series B,585.747,2021-10-03
AutoStack,Consumer Electronics,Smart Home,Noida,"A91 Partners, IFC, Kedaara Capital",Seed,2.376,2020-02-08
Meesho,RealEstate,Rental Tech,Kolkata,"IFC, Zodius Capital",Seed,0.684,2023-07-30
DriveEdge,Media,Streaming,Bengaluru,Nexus Venture Partners,Series A,129.573,2022-01-16
Delhivery,Enterprise,Security,Chennai,Ribbit Capital,Seed,9.936,2024-08-27
Flipkart,Logistics,Supply Chain,Delhi,Kalaari Capital,Seed,0.711,2023-05-16
Porter,HealthTech,Diagnostics,Bengaluru,Mirae Asset,Seed,13.446,2024-08-21
DriveEdge,FinTech,Lending,Delhi,Bessemer Venture Partners,Seed,11.142,2020-02-29
QuantumSolutions,HealthTech,Telemedicine,Kolkata,SoftBank Vision Fund,Series C,733.626,2020-04-23
Delhivery,Enterprise,Analytics,Chennai,"Kalaari Capital, LCatterton, Zodius Capital",Angel,0.261,2023-10-07
FinSense,AgriTech,Marketplace,Noida,"Peak XV, Zodius Capital",Angel,0.153,2022-12-04
AutoStack,E-commerce,Marketplace,Ahmedabad,SoftBank Vision Fund,Seed,0.549,2024-07-10
UrbanDrive,Media,Social,Chennai,Lightspeed India,Seed,1.548,2020-08-06
SkillSolutions,Logistics,Fleet Management,Bengaluru,"Info Edge, Peak XV, SoftBank Vision Fund",Series A,79.155,2022-02-06
LogiMart,Retail,E-Retail,Pune,Sequoia Capital India,Series A,9.117,2022-01-23
GreenMart,RealEstate,PropTech,Gurugram,Ribbit Capital,Seed,1.539,2022-02-26
ShareChat,Retail,Fashion,Mumbai,"Kalaari Capital, LCatterton",Series A,26.46,2021-04-29
DriveFit,Logistics,Supply Chain,Mumbai,Elevation Capital,Angel,0.225,2024-03-29
BharatPe,Consumer Electronics,Smart Home,Pune,"IFC, Kalaari Capital, Sequoia Capital India",Growth,5098.995,2024-04-19
NeoLabs,FoodTech,Food Delivery,Chennai,Zodius Capital,Growth,1122.453,2024-08-06
Swiggy,Mobility,Ride Sharing,Pune,"Info Edge, Ventures India",Pre-Series A,1.998,2024-02-02
ClearTax,Retail,E-Retail,Delhi,"Kalaari Capital, Nexus Venture Partners, Ribbit Capital",Series B,347.742,2024-06-08
HyperLabs,E-commerce,Marketplace,Gurugram,"IFC, Prosus Ventures, Ventures India",Series A,30.627,2025-06-08
FoodLoop,Enterprise,Automation,Delhi,"Bessemer Venture Partners, Zodius Capital",Seed,1.026,2023-11-08
BlueRise,SaaS,DevTools,Chennai,"Lightspeed India, Peak XV",Growth,1485.135,2025-04-18
HomeFoods,Consumer Electronics,Audio,Hyderabad,Kalaari Capital,Series B,66.501,2020-12-11
DriveLoop,HealthTech,Telemedicine,Pune,Sequoia Capital India,Seed,0.864,2023-03-07
DriveEdge,Consumer Electronics,Smart Home,Kolkata,Blume Ventures,Seed,2.826,2024-01-01
NextStack,Consumer Electronics,Wearables,Delhi,"Lightspeed India, Zodius Capital",Series A,27.99,2021-02-27
FinFoods,FoodTech,Cloud Kitchen,Bengaluru,Ribbit Capital,Seed,13.149,2021-06-20
LogiMart,RealEstate,Rental Tech,Kolkata,IFC,Seed,1.71,2022-08-18
AutoMart,Media,Content,Chennai,Accel,Series B,225.063,2021-06-08
HealthWorks_839,EdTech,Coding Bootcamp,Pune,"Omidyar Network, Tiger Global Management, Ventures India",Debt,45.783,2025-04-07
FarmFit_840,Mobility,Micro Mobility,Chennai,"A91 Partners, Tiger Global Management, Y Combinator",Seed,0.468,2022-03-19
EduTech,Mobility,EV,Pune,SoftBank Vision Fund,Growth,2592.459,2020-09-27
Paytm,HealthTech,Pharmacy,Mumbai,Mirae Asset,Seed,0.864,2025-06-27
QuantumSolutions,FoodTech,Food Delivery,Hyderabad,Falcon Edge,Series A,121.491,2024-04-08
DriveEdge,SaaS,MarTech,Delhi,"Blume Ventures, Info Edge, Ribbit Capital",Series A,13.464,2025-03-05
Udaan,EdTech,K12,Bengaluru,"LCatterton, Mirae Asset, Nexus Venture Partners",Series A,27.666,2020-11-30
NimbusLabs_846,SaaS,MarTech,Kolkata,"Accel, IFC, Nexus Venture Partners",Series A,11.34,2024-09-28
HealthAnalytics,HealthTech,Pharmacy,Ahmedabad,Omidyar Network,Angel,0.891,2023-04-14
MediHive,AgriTech,Supply Chain,Chennai,"LCatterton, Prosus Ventures",Angel,0.207,2021-05-19
GrowthFlow,RealEstate,PropTech,Chennai,Zodius Capital,Pre-Series A,3.546,2025-03-17
HyperLoop_850,Consumer Electronics,Smart Home,Kolkata,Omidyar Network,Series A,10.791,2025-05-10
MediHive,FinTech,NeoBank,Kolkata,"Bessemer Venture Partners, LCatterton, Nexus Venture Partners",Seed,7.155,2024-02-07
Postman,Retail,Fashion,Hyderabad,"Peak XV, Tiger Global, Y Combinator",Seed,0.972,2020-04-23
FoodFit,EdTech,Coding Bootcamp,Mumbai,Kalaari Capital,Pre-Seed,1.422,2021-03-02
CoreConnect,Retail,Fashion,Delhi,"LCatterton, Ventures India",Seed,0.963,2022-10-02
LogiSense,E-commerce,D2C,Noida,"A91 Partners, Mirae Asset",Seed,0.909,2022-07-01
Innovaccer,E-commerce,Fashion,Pune,"Info Edge, SoftBank Vision Fund, Tiger Global",Series A,9.936,2022-06-08
SmartMart,RealEstate,Rental Tech,Delhi,"Accel, Mirae Asset, Ribbit Capital",Angel,0.189,2022-12-15
HealthRise,Consumer Electronics,Wearables,Delhi,Zodius Capital,Debt,30.114,2023-11-02
DriveLoop,FinTech,NeoBank,Mumbai,Falcon Edge,Angel,0.054,2022-11-17
Flipkart,E-commerce,Fashion,Ahmedabad,Omidyar Network,Series C,1470.159,2021-12-28
AeroAnalytics_861,Media,Streaming,Kolkata,"Kalaari Capital, Tiger Global",Seed,2.394,2021-01-08
Delhivery,SaaS,MarTech,Kolkata,Tiger Global Management,Series A,37.233,2021-06-26
DataEdge,E-commerce,Grocery,Hyderabad,"Falcon Edge, Sequoia Capital India",Growth,1440.072,2020-08-05
Porter,FinTech,Lending,Kolkata,"Mirae Asset, Omidyar Network, Tiger Global Management",Series A,26.64,2022-04-09
ShareChat,Media,Streaming,Chennai,Nexus Venture Partners,Series C,819.333,2020-06-28
FinFoods,FinTech,Lending,Bengaluru,Ribbit Capital,Seed,0.801,2023-08-21
DriveEdge,Enterprise,Automation,Gurugram,"Kalaari Capital, Nexus Venture Partners",Seed,0.882,2024-04-25
Porter,HealthTech,Diagnostics,Kolkata,IFC,Bridge,10.809,2022-08-23
HomeMart,AgriTech,Smart Farming,Bengaluru,"IFC, Info Edge, Kalaari Capital",Seed,14.751,2020-07-29
NimbusLabs,AgriTech,Marketplace,Noida,"Falcon Edge, Kalaari Capital",Debt,9.162,2020-03-16
Myntra,EdTech,Test Prep,Noida,A91 Partners,Pre-Seed,0.333,2023-03-26
NextStack,FoodTech,Food Delivery,Mumbai,"Kedaara Capital, Sequoia Capital India, Y Combinator",Series A,51.48,2025-04-06
SmartTech,Consumer Electronics,Wearables,Kolkata,"LCatterton, SoftBank Vision Fund",Seed,2.034,2021-03-25
InMobi,HealthTech,Pharmacy,Chennai,"Mirae Asset, Ribbit Capital, Y Combinator",Bridge,0.495,2024-09-02
BharatPe,AgriTech,Supply Chain,Hyderabad,"Blume Ventures, Mirae Asset",Series B,69.381,2020-06-25
NeoLabs,FoodTech,Food Delivery,Hyderabad,Tiger Global Management,Seed,6.309,2023-02-14
Licious,Logistics,Supply Chain,Delhi,"Sequoia Capital India, Tiger Global",Seed,5.112,2024-10-26
Paytm,E-commerce,Grocery,Gurugram,"Matrix Partners India, SoftBank Vision Fund",Seed,0.495,2021-04-03
AgriFit,Retail,Fashion,Hyderabad,"Accel, IFC, Omidyar Network",Angel,0.09,2024-10-13
Postman,Consumer Electronics,Wearables,Mumbai,"IFC, Omidyar Network",Bridge,1.053,2024-05-19
Zomato,Enterprise,Automation,Bengaluru,"Lightspeed India, Nexus Venture Partners, Y Combinator",Series A,55.521,2020-12-08
Cars24,Media,Content,Noida,Blume Ventures,Series A,9.495,2024-11-17
Mobikwik,SaaS,DevTools,Mumbai,"Sequoia Capital India, Ventures India",Series D,571.905,2022-06-18
FarmBox,Mobility,Ride Sharing,Mumbai,"Prosus Ventures, Y Combinator",Seed,8.604,2024-01-04
WorkPay,Mobility,EV,Gurugram,LCatterton,Seed,0.873,2022-05-28
ShareChat,FinTech,InsurTech,Delhi,"Accel, Peak XV",Series C,1054.296,2024-01-09
HyperLabs,Retail,E-Retail,Chennai,Prosus Ventures,Seed,1.08,2024-04-03
WorkPay,FinTech,NeoBank,Hyderabad,"IFC, Kedaara Capital",Pre-Series A,1.134,2024-12-19
HyperLabs,FinTech,WealthTech,Noida,"Kalaari Capital, LCatterton, Ribbit Capital",Series A,17.388,2020-10-27
Ola,Media,Content,Chennai,Accel,Series C,1272.699,2024-12-09
WorkStack,Media,Streaming,Delhi,Lightspeed India,Series A,91.332,2023-01-12
FreshTech,Retail,Fashion,Delhi,"Matrix Partners India, Omidyar Network",Pre-Seed,1.215,2024-12-28
Oyo,Media,Content,Noida,Matrix Partners India,Seed,1.944,2020-05-02
ClearDekho,SaaS,B2B SaaS,Bengaluru,Info Edge,Series C,1099.008,2025-04-11
MediHive,EdTech,K12,Pune,"A91 Partners, Nexus Venture Partners, Y Combinator",Seed,0.963,2023-09-27
LogiMart,Mobility,Micro Mobility,Gurugram,"Accel, Kedaara Capital",Series C,398.142,2022-01-09
Flipkart,E-commerce,Quick Commerce,Bengaluru,"Accel, Lightspeed India",Pre-Series A,7.092,2020-09-23
CoreConnect,Mobility,EV,Hyderabad,"Prosus Ventures, Tiger Global Management",Series A,9.324,2023-07-27
NeoLabs,FoodTech,Cloud Kitchen,Delhi,"Falcon Edge, Info Edge, Tiger Global Management",Series A,11.349,2022-09-19
Housejoy,Media,Social,Kolkata,Peak XV,Series A,15.804,2024-03-08
Nykaa,E-commerce,Grocery,Chennai,"Elevation Capital, Falcon Edge",Seed,0.495,2022-01-26
Housejoy,SaaS,HRTech,Pune,Bessemer Venture Partners,Seed,0.882,2022-09-22
SmartCare,FoodTech,Cloud Kitchen,Hyderabad,Zodius Capital,Private Equity,3445.749,2021-03-17
NeoLabs_904,Mobility,EV,Mumbai,A91 Partners,Growth,1368.423,2022-05-05
BlueSpace,Consumer Electronics,Smart Home,Ahmedabad,"Ribbit Capital, Ventures India",Seed,12.114,2020-10-10
EduMart,Media,Content,Mumbai,"Kalaari Capital, Matrix Partners India",Series C,1646.874,2023-09-22
AutoMart,FinTech,InsurTech,Hyderabad,Kedaara Capital,Series B,116.091,2024-11-08
FreshTech,E-commerce,Grocery,Mumbai,"A91 Partners, Tiger Global",Seed,1.17,2023-06-21
FinFoods,Mobility,Ride Sharing,Mumbai,Tiger Global Management,Series B,128.943,2022-12-25
SkillSolutions,EdTech,Coding Bootcamp,Mumbai,Kalaari Capital,Series C,890.253,2023-05-27
FarmFit,FinTech,WealthTech,Chennai,"Matrix Partners India, SoftBank Vision Fund",Seed,1.206,2020-02-19
Porter,E-commerce,Grocery,Delhi,Ventures India,Seed,4.5,2021-01-09
HyperLoop,FoodTech,Grocery,Delhi,Blume Ventures,Seed,2.034,2025-05-22
NimbusMart,E-commerce,D2C,Delhi,Y Combinator,Pre-Series A,3.204,2021-10-25
Housejoy,FinTech,Lending,Gurugram,Mirae Asset,Series C,586.404,2023-04-15
ClearDekho,FoodTech,Cloud Kitchen,Hyderabad,"Kalaari Capital, Mirae Asset",Seed,1.332,2022-08-09
Freshworks,RealEstate,PropTech,Bengaluru,"Matrix Partners India, Prosus Ventures",Seed,14.886,2025-05-27
FreshSolutions,FoodTech,Food Delivery,Mumbai,Bessemer Venture Partners,Series D,2611.071,2022-10-21
SmartCare,HealthTech,Diagnostics,Noida,"Info Edge, Sequoia Capital India",Bridge,0.756,2025-05-22
SmartMart,AgriTech,Smart Farming,Delhi,"Elevation Capital, Matrix Partners India",Pre-Seed,1.332,2025-03-26
QuantumAnalytics,Enterprise,Automation,Gurugram,Tiger Global,Series A,33.687,2022-11-11
CRED,Logistics,Last Mile,Chennai,Kedaara Capital,Series B,537.48,2024-08-27
QuantumSolutions,EdTech,UpSkilling,Pune,"Info Edge, Matrix Partners India, Tiger Global Management",Series B,413.361,2025-06-29
DataHive,AgriTech,Smart Farming,Bengaluru,"LCatterton, Omidyar Network, Sequoia Capital India",Angel,0.162,2020-09-30
MediSpace,FoodTech,Grocery,Kolkata,Bessemer Venture Partners,Series C,191.295,2023-01-07
Dunzo,Mobility,Ride Sharing,Kolkata,"Y Combinator, Zodius Capital",Series B,94.779,2021-12-23
EduTech,Retail,Fashion,Bengaluru,Info Edge,Seed,3.321,2022-01-28
HomeAnalytics,Retail,Grocery,Pune,"Ribbit Capital, Zodius Capital",Seed,4.653,2024-07-29
HomeAnalytics,Consumer Electronics,Wearables,Bengaluru,"Kedaara Capital, Lightspeed India",Seed,1.161,2025-01-26
AutoMart,Logistics,Fleet Management,Noida,Prosus Ventures,Series A,13.122,2023-02-04
NoBroker,E-commerce,Grocery,Delhi,Peak XV,Series B,455.58,2020-09-17
HomeFoods,Media,Content,Gurugram,"Omidyar Network, Prosus Ventures",Series D,4341.249,2020-02-17
AutoFlow_933,FoodTech,Grocery,Bengaluru,"Kalaari Capital, Zodius Capital",Series D,1509.741,2021-10-23
NeoTech,Consumer Electronics,Wearables,Pune,"Elevation Capital, Kalaari Capital, Lightspeed India",Series A,14.328,2020-03-30
EduMart,FoodTech,Cloud Kitchen,Pune,Tiger Global Management,Seed,1.233,2023-03-17
Zepto,Media,Content,Mumbai,SoftBank Vision Fund,Angel,0.045,2021-02-07
Byju's,RealEstate,Rental Tech,Mumbai,Omidyar Network,Pre-Seed,1.476,2022-06-03
WorkStack,EdTech,Test Prep,Kolkata,Zodius Capital,Seed,0.693,2021-11-28
FinSpace,Retail,Fashion,Ahmedabad,"Info Edge, Nexus Venture Partners, Tiger Global Management",Series A,42.885,2020-07-14
GreenMart,Enterprise,Automation,Mumbai,"Omidyar Network, Tiger Global",Series C,378.081,2020-05-06
Paytm,E-commerce,Quick Commerce,Bengaluru,"Kalaari Capital, Ribbit Capital",Series A,40.365,2021-08-26
Flipkart,EdTech,Test Prep,Kolkata,"IFC, Ribbit Capital",Pre-Series A,4.032,2024-06-16
BlueSpace,RealEstate,PropTech,Kolkata,Accel,Series A,85.131,2023-04-18
UrbanStack,E-commerce,Grocery,Gurugram,"Falcon Edge, Mirae Asset, Y Combinator",Angel,0.081,2020-09-15
Ola,HealthTech,Diagnostics,Delhi,SoftBank Vision Fund,Series C,185.445,2020-05-03
DriveEdge,RealEstate,Home Services,Hyderabad,Nexus Venture Partners,Series A,13.041,2023-01-13
FreshTech,Logistics,Supply Chain,Bengaluru,"Matrix Partners India, Nexus Venture Partners, Zodius Capital",Series A,102.978,2023-09-08
Udaan,FoodTech,Food Delivery,Gurugram,Bessemer Venture Partners,Bridge,11.304,2023-08-04
DataHive,Consumer Electronics,Smart Home,Kolkata,"A91 Partners, SoftBank Vision Fund",Series A,45.378,2021-11-09
Delhivery,FoodTech,Food Delivery,Delhi,Mirae Asset,Seed,4.122,2024-11-29
Rapido,RealEstate,PropTech,Gurugram,Mirae Asset,Series A,54.495,2021-03-12
FreshBox,FoodTech,Cloud Kitchen,Chennai,Sequoia Capital India,Seed,0.855,2020-01-14
Licious,FinTech,NeoBank,Mumbai,Ribbit Capital,Seed,13.131,2022-06-20
ShareChat,FinTech,Payments,Gurugram,LCatterton,Seed,2.106,2020-12-22
NoBroker,SaaS,DevTools,Delhi,LCatterton,Seed,1.845,2020-12-26
DataAnalytics,HealthTech,Health Analytics,Mumbai,Info Edge,Seed,3.051,2021-03-06
Nykaa,Retail,Grocery,Delhi,IFC,Bridge,0.531,2025-06-24
Byju's,E-commerce,Marketplace,Delhi,Y Combinator,Series C,282.384,2021-01-27
DriveLoop,EdTech,Test Prep,Ahmedabad,"Elevation Capital, Nexus Venture Partners",Series A,66.411,2024-10-15
LogiMart_960,Retail,Grocery,Delhi,"LCatterton, Lightspeed India",Series D,544.518,2025-06-06
HealthRise,Retail,Fashion,Ahmedabad,"Ribbit Capital, Ventures India",Seed,4.167,2022-11-07
NimbusWorks,Consumer Electronics,Audio,Pune,"Mirae Asset, Peak XV",Series B,88.848,2022-12-12
FoodFit,Retail,Fashion,Bengaluru,Info Edge,Seed,1.89,2025-01-06
FinSpace,Logistics,Supply Chain,Chennai,Matrix Partners India,Series A,19.665,2025-03-30
WorkFit,E-commerce,D2C,Kolkata,"Falcon Edge, Tiger Global",Series A,23.58,2021-04-16
BlueSpace,Consumer Electronics,Wearables,Chennai,Elevation Capital,Pre-Series A,4.716,2022-10-15
GrowthFlow,EdTech,UpSkilling,Mumbai,Zodius Capital,Pre-Series A,1.782,2020-06-17
HealthRise,EdTech,Test Prep,Mumbai,Lightspeed India,Seed,3.636,2020-03-19
FreshBox,Media,Streaming,Hyderabad,Tiger Global Management,Seed,2.601,2023-05-22
Swiggy,FinTech,WealthTech,Hyderabad,"Peak XV, Zodius Capital",Series C,1085.949,2024-05-22
UrbanStack,Mobility,Ride Sharing,Chennai,"Lightspeed India, Matrix Partners India, Omidyar Network",Seed,14.256,2024-01-21
InMobi,Media,Content,Pune,Info Edge,Series C,1308.708,2021-10-03
SkillRise,Consumer Electronics,Smart Home,Bengaluru,Elevation Capital,Pre-Series A,1.476,2023-03-28
MediSpace,RealEstate,Home Services,Pune,"Prosus Ventures, Ventures India",Seed,0.504,2022-05-21
Delhivery,SaaS,B2B SaaS,Ahmedabad,Nexus Venture Partners,Series C,366.201,2025-03-03
FreshBox,Retail,Fashion,Ahmedabad,"Kalaari Capital, Lightspeed India",Series A,45.09,2022-03-11
AeroHub,E-commerce,D2C,Ahmedabad,Accel,Bridge,0.54,2023-08-01
Zomato,RealEstate,Rental Tech,Delhi,"Blume Ventures, Mirae Asset",Pre-Seed,0.567,2023-11-12
CRED,FoodTech,Food Delivery,Gurugram,Tiger Global,Seed,4.068,2023-09-12
MediSpace,Enterprise,Security,Chennai,Falcon Edge,Seed,1.548,2020-08-14
GrowthCare,FoodTech,Cloud Kitchen,Delhi,"Prosus Ventures, Zodius Capital",Growth,3441.726,2021-09-26
NextSense,Logistics,Fleet Management,Gurugram,"Elevation Capital, Sequoia Capital India",Series A,12.015,2023-11-03
SmartCare,Enterprise,Security,Ahmedabad,LCatterton,Series C,220.617,2022-12-12
NeoLabs,AgriTech,Supply Chain,Mumbai,"Y Combinator, Zodius Capital",Seed,6.606,2024-12-09
Delhivery,FoodTech,Grocery,Delhi,"Info Edge, Ventures India",Pre-Series A,2.817,2021-01-02
BlueTech,E-commerce,Fashion,Bengaluru,Elevation Capital,Seed,5.706,2024-11-17
Cars24,RealEstate,PropTech,Gurugram,"Nexus Venture Partners, Y Combinator",Angel,0.162,2022-04-22
Zomato,Mobility,EV,Chennai,Falcon Edge,Series A,17.541,2021-06-01
SmartMart_989,RealEstate,Rental Tech,Kolkata,"IFC, Kalaari Capital",Pre-Series A,5.931,2024-03-07
MediSpace,Media,Social,Pune,"Accel, Info Edge",Series B,412.866,2022-08-08
HomeMart,Consumer Electronics,Audio,Kolkata,Blume Ventures,Series C,1181.133,2024-09-19
PhonePe,AgriTech,Supply Chain,Delhi,"Accel, Kalaari Capital, Ventures India",Seed,1.224,2022-12-30
SkillFlow,SaaS,DevTools,Gurugram,"Falcon Edge, Info Edge, Tiger Global",Series B,231.165,2025-01-02
Zomato,FoodTech,Grocery,Hyderabad,Tiger Global,Series A,23.922,2023-05-10
UrbanSolutions,EdTech,UpSkilling,Gurugram,Sequoia Capital India,Seed,0.63,2020-02-02
CloudLabs,E-commerce,Marketplace,Mumbai,"Blume Ventures, Kalaari Capital",Series C,2158.326,2024-08-27
AeroStack,SaaS,DevTools,Ahmedabad,"Nexus Venture Partners, Peak XV",Seed,0.747,2023-01-14
Meesho,E-commerce,D2C,Pune,"Info Edge, Kalaari Capital, SoftBank Vision Fund",Seed,14.985,2022-04-03
Byju's,RealEstate,Home Services,Ahmedabad,Kalaari Capital,Pre-Series A,2.511,2020-05-17
Chargebee,E-commerce,Grocery,Ahmedabad,Omidyar Network,Seed,0.891,2025-05-18
UrbanDrive,Retail,Fashion,Delhi,"IFC, Mirae Asset, SoftBank Vision Fund",Seed,3.321,2023-07-25
WorkStack_1002,AgriTech,Smart Farming,Chennai,Falcon Edge,Series A,95.697,2024-02-28
UrbanStack,AgriTech,Supply Chain,Hyderabad,Ribbit Capital,Seed,6.705,2022-05-27
HealthWorks,Consumer Electronics,Wearables,Gurugram,"Omidyar Network, Peak XV, Sequoia Capital India",Seed,8.82,2021-02-22
Ola,Media,Content,Delhi,Falcon Edge,Seed,5.112,2023-08-11
SkillRise,Logistics,Last Mile,Gurugram,Matrix Partners India,Series D,2215.584,2021-11-09
Udaan,RealEstate,PropTech,Gurugram,"Info Edge, SoftBank Vision Fund",Series A,89.739,2022-02-20
MediHive_1008,Consumer Electronics,Audio,Gurugram,Nexus Venture Partners,Seed,1.134,2020-10-16
NoBroker,AgriTech,Marketplace,Gurugram,"Kedaara Capital, SoftBank Vision Fund",Seed,2.736,2020-06-09
BlueRise,HealthTech,Diagnostics,Hyderabad,"IFC, Lightspeed India, Mirae Asset",Seed,1.017,2022-07-07
ShareChat,FoodTech,Food Delivery,Delhi,"Info Edge, Omidyar Network",Series A,130.563,2022-05-15
HyperLoop,Retail,Grocery,Bengaluru,Ventures India,Series C,2320.452,2022-05-25
Delhivery,AgriTech,Marketplace,Delhi,Y Combinator,Series A,10.017,2020-12-25
BigBasket,Consumer Electronics,Wearables,Chennai,SoftBank Vision Fund,Series A,60.822,2022-09-11
CoreSpace,EdTech,Test Prep,Bengaluru,"Kalaari Capital, Y Combinator",Growth,5172.084,2024-02-04
AutoMart,SaaS,MarTech,Kolkata,Kalaari Capital,Seed,0.873,2023-04-19
GrowthConnect,E-commerce,Fashion,Ahmedabad,"Bessemer Venture Partners, Peak XV",Seed,3.654,2024-04-11
NextFlow,Consumer Electronics,Smart Home,Pune,"Peak XV, Ventures India",Series B,569.601,2023-08-26
HomeMart,Enterprise,Security,Bengaluru,Matrix Partners India,Series B,49.437,2023-08-14
AutoFlow,HealthTech,Pharmacy,Gurugram,"Bessemer Venture Partners, Sequoia Capital India, Zodius Capital",Series A,59.49,2025-05-03
AeroHub,AgriTech,Supply Chain,Noida,"Blume Ventures, Info Edge",Angel,0.108,2024-11-29
Oyo,Mobility,Micro Mobility,Chennai,"Peak XV, Ventures India",Series A,110.007,2024-02-12
Unacademy,E-commerce,Grocery,Pune,"Kedaara Capital, Lightspeed India, Ventures India",Series C,2496.465,2021-07-04
MediHive,Enterprise,Security,Bengaluru,"Elevation Capital, Kalaari Capital",Seed,14.652,2024-05-03
Paytm,HealthTech,Diagnostics,Pune,Mirae Asset,Seed,2.592,2020-10-02
AeroAnalytics,Consumer Electronics,Smart Home,Gurugram,"Blume Ventures, Matrix Partners India, Ventures India",Seed,10.818,2020-04-30
Freshworks,Consumer Electronics,Smart Home,Ahmedabad,Accel,Seed,10.143,2023-07-27
WorkFit,Logistics,Last Mile,Pune,"Mirae Asset, Ventures India",Pre-Seed,0.378,2021-04-25
MediSpace_1029,Retail,E-Retail,Ahmedabad,Lightspeed India,Series C,1698.84,2020-03-26
MediHive,Mobility,EV,Kolkata,"Info Edge, Y Combinator",Series A,9.945,2021-11-21
DataHive,Enterprise,Analytics,Pune,"Tiger Global, Y Combinator",Series B,235.071,2022-02-14
FreshBox,FinTech,InsurTech,Chennai,Sequoia Capital India,Series B,85.149,2024-12-23
NeoTech,Logistics,Fleet Management,Gurugram,"Kalaari Capital, Mirae Asset, Prosus Ventures",Pre-Series A,1.188,2023-06-20
FinFoods_1034,RealEstate,Home Services,Bengaluru,Tiger Global Management,Series B,55.701,2024-11-23
NeoSense,EdTech,Coding Bootcamp,Chennai,Y Combinator,Series B,310.194,2024-06-14
FarmBox,Enterprise,Automation,Mumbai,"Lightspeed India, Nexus Venture Partners",Series B,115.47,2021-08-24
ClearDekho,FinTech,Lending,Kolkata,"Mirae Asset, Tiger Global Management",Series C,1281.339,2021-09-09
EduMart,Consumer Electronics,Smart Home,Noida,Ventures India,Seed,0.576,2021-03-09
Unacademy,E-commerce,Fashion,Bengaluru,LCatterton,Seed,1.44,2025-03-17
QuantumSolutions,Logistics,Fleet Management,Kolkata,Prosus Ventures,Bridge,3.294,2023-10-05
NeoLabs,Media,Content,Gurugram,"SoftBank Vision Fund, Tiger Global",Angel,0.477,2024-04-18
QuantumAnalytics,Retail,Fashion,Chennai,Nexus Venture Partners,Series C,426.735,2021-04-02
Unacademy,E-commerce,Quick Commerce,Pune,Ventures India,Series B,255.186,2025-04-03
Porter,AgriTech,Smart Farming,Delhi,"A91 Partners, Sequoia Capital India",Series D,3460.914,2025-05-07
HealthWorks,EdTech,Coding Bootcamp,Chennai,"Nexus Venture Partners, Peak XV, Prosus Ventures",Seed,4.365,2022-01-17
HomeAnalytics,FinTech,NeoBank,Kolkata,Zodius Capital,Seed,1.062,2024-07-29
Chargebee,RealEstate,Home Services,Delhi,"Bessemer Venture Partners, Kedaara Capital, Prosus Ventures",Series A,9.612,2020-10-25
FoodLoop,Media,Social,Hyderabad,"Mirae Asset, Zodius Capital",Debt,200.727,2023-12-17
NimbusLabs,FoodTech,Cloud Kitchen,Pune,IFC,Seed,0.486,2024-01-07
Zepto,Media,Streaming,Bengaluru,IFC,Angel,0.621,2024-05-08
DriveFit,Enterprise,Automation,Delhi,"Prosus Ventures, SoftBank Vision Fund",Debt,24.093,2023-01-27
NextFlow,FoodTech,Cloud Kitchen,Noida,"A91 Partners, Kedaara Capital, LCatterton",Series B,608.085,2021-08-01
Wakefit,HealthTech,Pharmacy,Ahmedabad,"Elevation Capital, Omidyar Network, Prosus Ventures",Growth,3704.418,2020-04-20
Ola,Media,Content,Hyderabad,Bessemer Venture Partners,Angel,0.891,2021-03-05
BlueRise,FinTech,WealthTech,Ahmedabad,Y Combinator,Seed,1.638,2024-05-27
